promoter 1,promoter 2,promoter 3,Lycopene_abs
15,7,2,3.33283
15,8,2,3.88033
16,1,2,4.91814
16,3,22,2.13966
16,4,1,2.39022
16,4,2,2.60617
16,6,1,4.12194
16,6,4,3.09547
16,7,2,5.54487
16,7,5,3.2447
16,9,4,4.30832
16,10,1,3.4384
16,10,4,5.83607
16,10,17,2.46781
16,13,3,1.58186
16,13,4,1.23855
16,15,2,2.44467
16,15,14,1.98366
16,18,1,2.22717
16,19,16,3.08838
17,1,16,3.50365
17,3,18,4.69675
17,9,18,0.90974
17,11,16,4.14521
17,14,18,1.97278
17,14,20,0.54956
17,17,14,3.02727
17,18,16,1.72013
19,3,13,1.78174
19,3,20,0.5962
20,2,3,2.36119
20,6,3,2.10536
20,8,7,5.32976
20,9,2,3.64685
20,11,3,1.88984
20,15,4,1.49495
20,19,3,1.2087
4,3,14,3.09846
6,1,17,1.64662
9,10,3,5.06791
10,3,15,3.56068
10,6,12,8.65595
11,10,3,2.04252
12,3,11,3.62651
12,3,4,2.93086
12,12,12,2.42588
14,3,15,4.21687
15,6,2,2.61767
15,10,5,2.808
16,2,2,4.87156
16,2,12,7.05038
16,3,14,6.21888
16,4,1,4.95138
16,4,2,2.70967
16,5,1,8.71958
16,5,3,3.86568
16,6,2,8.51768
16,7,1,1.70345
16,7,3,1.1559
16,7,14,3.94978
16,8,1,1.60723
16,8,2,2.31541
16,8,3,3.00045
16,8,13,3.93628
16,9,12,3.59193
16,10,3,2.87549
16,10,9,3.92321
17,5,9,3.79393
17,6,1,2.85787
17,8,18,3.62218
17,9,3,1.42044
17,10,3,2.77818
17,10,4,3.32709
17,10,5,2.9936
17,10,6,1.76945
18,3,14,2.16986
18,3,10,5.66598
18,3,15,7.52012
18,8,3,2.076
18,10,2,9.17362
19,10,3,1.17213
20,11,12,6.63148
4,3,14,3.02883
6,1,17,1.60646
9,10,3,4.84014
10,3,15,3.51928
10,6,12,9.05855
11,10,3,1.88187
12,3,11,3.70893
12,3,4,2.89555
12,12,12,2.20783
14,3,15,3.83352
15,6,2,2.64776
15,10,5,3.04771
16,2,2,5.09814
16,2,12,7.05038
16,3,14,6.52224
16,4,1,5.12821
16,4,2,2.49655
16,5,1,8.92475
16,5,3,4.2952
16,6,2,9.14862
16,7,1,1.64403
16,7,3,1.1277
16,7,14,3.81664
16,8,1,1.68759
16,8,2,2.25961
16,8,3,3.06942
16,8,13,4.03469
16,9,12,3.39238
16,10,3,3.01575
16,10,9,3.8309
17,5,9,3.4567
17,6,1,2.92591
17,8,18,3.88091
17,9,3,1.4724
17,10,3,2.50036
17,10,4,3.28928
17,10,5,3.06573
17,10,6,1.92428
18,3,14,2.38685
18,3,10,6.23257
18,3,15,7.78553
18,8,3,2.02536
18,10,2,8.85361
19,10,3,1.15766
20,11,12,5.78491
4,3,14,3.02883
6,1,17,1.70686
9,10,3,4.72626
10,3,15,3.60208
10,6,12,8.1527
11,10,3,1.83597
12,3,11,3.42046
12,3,4,3.10742
12,12,12,2.2896
14,3,15,3.97727
15,6,2,2.5274
15,10,5,3.01347
16,2,2,4.58833
16,2,12,6.80154
16,3,14,6.4464
16,4,1,5.12821
16,4,2,2.58788
16,5,1,8.82217
16,5,3,4.2952
16,6,2,8.62283
16,7,1,1.66384
16,7,3,1.1559
16,7,14,3.55036
16,8,1,1.74786
16,8,2,2.42699
16,8,3,2.75903
16,8,13,4.42831
16,9,12,3.51211
16,10,3,2.84042
16,10,9,4.15398
17,5,9,3.79393
17,6,1,2.85787
17,8,18,3.57906
17,9,3,1.48973
17,10,3,2.50036
17,10,4,3.4027
17,10,5,2.95753
17,10,6,1.76945
18,3,14,2.27836
18,3,10,5.7368
18,3,15,7.69706
18,8,3,2.25322
18,10,2,8.96028
19,10,3,1.1866
20,11,12,5.71436
4,3,14,2.68069
6,1,17,1.86751
9,10,3,4.72626
10,3,15,3.39507
10,6,12,8.354
11,10,3,2.04252
12,3,11,3.25562
12,3,4,3.07211
12,12,12,2.34411
14,3,15,4.26479
15,6,2,2.43714
15,10,5,2.77376
16,2,2,4.70162
16,2,12,7.29921
16,3,14,6.59808
16,4,1,4.83349
16,4,2,2.55744
16,5,1,8.41183
16,5,3,3.77023
16,6,2,9.46409
16,7,1,1.72326
16,7,3,1.35324
16,7,14,3.77226
16,8,1,1.78804
16,8,2,2.48279
16,8,3,2.89698
16,8,13,4.32991
16,9,12,3.07309
16,10,3,3.19109
16,10,9,3.78474
17,5,9,3.28808
17,6,1,2.92591
17,8,18,3.57906
17,9,3,1.50705
17,10,3,2.71644
17,10,4,2.83559
17,10,5,3.24607
17,10,6,2.05698
18,3,14,2.38685
18,3,10,6.44505
18,3,15,7.07776
18,8,3,2.25322
18,10,2,9.28029
19,10,3,1.40367
20,11,12,5.85545
,,,
