promoter 1,promoter 2,promoter 3,Lycopene_abs
1,1,1,1.06356
1,13,10,0.79031
2,23,17,0.93044
2,7,15,1.77051
3,15,21,1.43224
3,12,21,2.72854
4,4,13,1.41765
5,8,8,1.7939
5,22,12,1.93662
6,18,6,3.55577
6,21,6,1.04372
6,2,20,3.65709
7,7,4,1.48731
8,5,23,2.14156
8,13,21,0.80819
9,9,15,3.2793
9,18,15,1.6185
9,11,11,1.7454
10,22,19,4.29051
11,14,2,1.55735
11,4,6,1.19085
12,12,12,1.2284
12,3,12,3.79943
12,20,14,0.79646
13,1,22,1.71017
14,11,5,1.67082
14,19,3,1.94217
15,3,9,0.65339
15,24,9,1.76803
16,16,1,1.16442
17,20,20,1.82859
17,10,24,2.06185
18,6,18,2.49538
18,9,18,1.14597
18,14,8,2.48019
19,19,16,0.70952
20,17,11,2.30347
20,1,9,1.96797
21,21,3,2.35603
21,6,3,1.7985
21,23,23,1.12137
22,10,7,1.41163
23,2,14,2.89498
23,16,18,1.00186
24,15,24,2.87153
24,8,2,2.32058
1,1,1,1.15435
1,13,10,0.77193
2,23,17,0.95159
2,7,15,1.81075
3,15,21,1.35086
3,12,21,2.92579
4,4,13,1.38429
5,8,8,1.83819
5,22,12,1.91271
6,18,6,3.95086
6,21,6,1.03114
6,2,20,3.61249
7,7,4,1.48731
8,5,23,2.22187
8,13,21,0.81829
9,9,15,3.51925
9,18,15,1.69378
9,11,11,1.85449
10,22,19,4.29051
11,14,2,1.55735
11,4,6,1.13732
12,12,12,1.15939
12,3,12,3.7531
12,20,14,0.75941
13,1,22,1.87907
14,11,5,1.55559
14,19,3,1.96645
15,3,9,0.66914
15,24,9,1.83194
16,16,1,1.05857
17,20,20,1.82859
17,10,24,2.26803
18,6,18,2.27357
18,9,18,1.06693
18,14,8,2.36348
19,19,16,0.75387
20,17,11,2.41187
20,1,9,1.85487
21,21,3,2.29856
21,6,3,1.8643
21,23,23,1.18811
22,10,7,1.28615
23,2,14,2.83065
23,16,18,1.01423
24,15,24,2.58115
24,8,2,2.06274
1,1,1,1.11544
1,13,10,0.75355
2,23,17,0.95159
2,7,15,1.71016
3,15,21,1.33459
3,12,21,2.92579
4,4,13,1.35093
5,8,8,1.94892
5,22,12,2.08008
6,18,6,3.64357
6,21,6,1.04372
6,2,20,3.96928
7,7,4,1.54107
8,5,23,2.24864
8,13,21,0.87891
9,9,15,3.51925
9,18,15,1.50558
9,11,11,1.87631
10,22,19,3.99118
11,14,2,1.50365
11,4,6,1.07042
12,12,12,1.17319
12,3,12,4.44812
12,20,14,0.79646
13,1,22,1.90019
14,11,5,1.55559
14,19,3,1.96645
15,3,9,0.66126
15,24,9,1.91714
16,16,1,1.08503
17,20,20,1.82859
17,10,24,2.31958
18,6,18,2.4122
18,9,18,1.13279
18,14,8,2.59691
19,19,16,0.78047
20,17,11,2.30347
20,1,9,2.01321
21,21,3,2.35603
21,6,3,1.95203
21,23,23,1.18811
22,10,7,1.25478
23,2,14,2.38032
23,16,18,1.06371
24,15,24,2.67794
24,8,2,2.06274
1,1,1,1.07653
1,13,10,0.80869
2,23,17,0.76127
2,7,15,1.5492
3,15,21,1.41596
3,12,21,2.59705
4,4,13,1.51772
5,8,8,1.94892
5,22,12,2.19962
6,18,6,3.77526
6,21,6,1.15689
6,2,20,3.92468
7,7,4,1.57691
8,5,23,2.48956
8,13,21,0.92942
9,9,15,3.2793
9,18,15,1.58086
9,11,11,1.94176
10,22,19,4.39029
11,14,2,1.46785
11,4,6,1.1507
12,12,12,1.13179
12,3,12,3.7531
12,20,14,0.79646
13,1,22,1.68906
14,11,5,1.74764
14,19,3,2.37916
15,3,9,0.69275
15,24,9,1.72543
16,16,1,1.19089
17,20,20,1.49985
17,10,24,2.11339
18,6,18,2.24584
18,9,18,1.13279
18,14,8,2.48019
19,19,16,0.77161
20,17,11,2.19507
20,1,9,1.85487
21,21,3,2.75828
21,6,3,1.84237
21,23,23,1.04127
22,10,7,1.38026
23,2,14,2.83065
23,16,18,1.12555
24,15,24,2.83926
24,8,2,2.32058
2,3,18,0.68389
8,3,21,2.42208
9,3,20,1.0163
9,7,16,4.53049
11,3,14,2.12034
12,3,5,1.37836
12,12,12,1.39559
14,3,20,1.02709
15,7,2,3.07646
15,8,2,3.44918
16,1,2,5.09591
16,3,22,2.16454
16,4,1,2.56512
16,4,2,2.22211
16,6,1,3.9798
16,6,4,2.79591
16,7,2,5.22982
16,7,5,2.94973
16,9,4,4.85367
16,10,1,3.13277
16,10,4,6.04958
16,10,17,2.46781
16,13,3,1.39065
16,13,4,1.19378
16,15,2,2.25239
16,15,14,2.18454
16,18,1,2.53728
16,19,16,3.01819
17,1,16,3.62446
17,3,18,4.36907
17,9,18,0.77425
17,11,16,4.04767
17,14,18,1.97278
17,14,20,0.62002
17,17,14,2.92406
17,18,16,1.56376
19,3,13,2.01017
19,3,20,0.56879
20,2,3,2.23001
20,6,3,2.03439
20,8,7,4.98217
20,9,2,3.44425
20,11,3,1.88984
20,15,4,1.4428
20,19,3,1.22363
2,3,18,0.66741
8,3,21,2.25504
9,3,20,1.10413
9,7,16,4.75702
11,3,14,2.19791
12,3,5,1.53342
12,12,12,1.41282
14,3,20,1.00401
15,7,2,3.07646
15,8,2,3.53541
16,1,2,4.91814
16,3,22,2.04015
16,4,1,2.59427
16,4,2,2.27697
16,6,1,4.07456
16,6,4,2.69605
16,7,2,5.54487
16,7,5,3.20783
16,9,4,4.63553
16,10,1,3.28559
16,10,4,6.19193
16,10,17,2.67847
16,13,3,1.46018
16,13,4,1.31316
16,15,2,2.4172
16,15,14,2.20965
16,18,1,2.28355
16,19,16,2.948
17,1,16,3.22174
17,3,18,4.64213
17,9,18,0.79361
17,11,16,4.04767
17,14,18,2.01976
17,14,20,0.59184
17,17,14,2.75206
17,18,16,1.73968
19,3,13,2.01017
19,3,20,0.5962
20,2,3,2.20378
20,6,3,1.91611
20,8,7,4.75044
20,9,2,3.28217
20,11,3,1.80194
20,15,4,1.42541
20,19,3,1.31316
2,3,18,0.66741
8,3,21,2.39424
9,3,20,1.02884
9,7,16,4.92691
11,3,14,2.09448
12,3,5,1.4645
12,12,12,1.37836
14,3,20,1.00401
15,7,2,2.96659
15,8,2,3.7941
16,1,2,5.21442
16,3,22,2.11478
16,4,1,2.36107
16,4,2,2.22211
16,6,1,3.93242
16,6,4,2.72934
16,7,2,5.1038
16,7,5,3.13409
16,9,4,4.7446
16,10,1,3.13277
16,10,4,6.12075
16,10,17,2.61828
16,13,3,1.47756
16,13,4,1.32808
16,15,2,2.22492
16,15,14,2.15943
16,18,1,2.53728
16,19,16,2.87781
17,1,16,3.34256
17,3,18,4.86059
17,9,18,0.81296
17,11,16,4.34028
17,14,18,2.01976
17,14,20,0.63411
17,17,14,2.99287
17,18,16,1.6224
19,3,13,1.96449
19,3,20,0.56879
20,2,3,2.12507
20,6,3,1.98708
20,8,7,4.63458
20,9,2,3.40373
20,11,3,1.88984
20,15,4,1.5471
20,19,3,1.32808
2,3,18,0.78277
8,3,21,2.39424
9,3,20,1.11667
9,7,16,5.04017
11,3,14,2.37892
12,3,5,1.48173
12,12,12,1.67126
14,3,20,0.8886
