line name,measurement type,Value
S1.C1.R1.P1,promoter 1,1.0
S1.C1.R1.P2,promoter 2,1.0
S1.C1.R1.P3,promoter 3,1.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.06356
S1.C1.R1.P1,promoter 1,1.0
S1.C1.R1.P2,promoter 2,13.0
S1.C1.R1.P3,promoter 3,10.0
S1.C1.R1.LY,abs @470nm w/DMSO,0.79031
S1.C1.R1.P1,promoter 1,2.0
S1.C1.R1.P2,promoter 2,23.0
S1.C1.R1.P3,promoter 3,17.0
S1.C1.R1.LY,abs @470nm w/DMSO,0.93044
S1.C1.R1.P1,promoter 1,2.0
S1.C1.R1.P2,promoter 2,7.0
S1.C1.R1.P3,promoter 3,15.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.77051
S1.C1.R1.P1,promoter 1,3.0
S1.C1.R1.P2,promoter 2,15.0
S1.C1.R1.P3,promoter 3,21.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.43224
S1.C1.R1.P1,promoter 1,3.0
S1.C1.R1.P2,promoter 2,12.0
S1.C1.R1.P3,promoter 3,21.0
S1.C1.R1.LY,abs @470nm w/DMSO,2.72854
S1.C1.R1.P1,promoter 1,4.0
S1.C1.R1.P2,promoter 2,4.0
S1.C1.R1.P3,promoter 3,13.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.41765
S1.C1.R1.P1,promoter 1,5.0
S1.C1.R1.P2,promoter 2,8.0
S1.C1.R1.P3,promoter 3,8.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.7939
S1.C1.R1.P1,promoter 1,5.0
S1.C1.R1.P2,promoter 2,22.0
S1.C1.R1.P3,promoter 3,12.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.93662
S1.C1.R1.P1,promoter 1,6.0
S1.C1.R1.P2,promoter 2,18.0
S1.C1.R1.P3,promoter 3,6.0
S1.C1.R1.LY,abs @470nm w/DMSO,3.55577
S1.C1.R1.P1,promoter 1,6.0
S1.C1.R1.P2,promoter 2,21.0
S1.C1.R1.P3,promoter 3,6.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.04372
S1.C1.R1.P1,promoter 1,6.0
S1.C1.R1.P2,promoter 2,2.0
S1.C1.R1.P3,promoter 3,20.0
S1.C1.R1.LY,abs @470nm w/DMSO,3.65709
S1.C1.R1.P1,promoter 1,7.0
S1.C1.R1.P2,promoter 2,7.0
S1.C1.R1.P3,promoter 3,4.0
S1.C1.R1.LY,abs @470nm w/DMSO,1.48731
